virlimit,padlimit,recall (%),coverage (%),expected_bpas,fold-enrichment,p-value
0.5,0.5,76.32,30.67,34.97,2.49,1.3526297630641352e-23
0.5,0.55,75.44,30.62,34.91,2.46,8.441091899298989e-23
0.5,0.6,75.44,30.58,34.86,2.47,7.665963887473696e-23
0.5,0.65,75.44,30.52,34.79,2.47,6.608128855620441e-23
0.5,0.7,75.44,30.47,34.74,2.48,5.89561592452644e-23
0.5,0.75,75.44,30.43,34.68,2.48,5.271883120566745e-23
0.5,0.8,75.44,30.4,34.65,2.48,4.917030269063834e-23
0.5,0.85,75.44,30.35,34.6,2.49,4.4283579204427615e-23
0.5,0.9,75.44,30.33,34.57,2.49,4.1501237006537225e-23
0.5,0.95,75.44,30.3,34.55,2.49,3.928179041967015e-23
0.55,0.5,74.56,29.78,33.95,2.5,7.629084653946748e-23
0.55,0.55,73.68,29.73,33.89,2.48,4.48584812640794e-22
0.55,0.6,73.68,29.68,33.84,2.48,4.0149509547944125e-22
0.55,0.65,73.68,29.61,33.76,2.49,3.4193638250016367e-22
0.55,0.7,73.68,29.56,33.7,2.49,2.9987507046814154e-22
0.55,0.75,73.68,29.51,33.64,2.5,2.6421887751958664e-22
0.55,0.8,72.81,29.47,33.6,2.47,1.5944472389428042e-21
0.55,0.85,72.81,29.43,33.55,2.47,1.4250313307877072e-21
0.55,0.9,72.81,29.4,33.51,2.48,1.3242042053453207e-21
0.55,0.95,72.81,29.37,33.48,2.48,1.2425133653321038e-21
0.6,0.5,71.93,28.84,32.88,2.49,2.225075829921147e-21
0.6,0.55,71.05,28.78,32.81,2.47,1.189937213371536e-20
0.6,0.6,71.05,28.72,32.74,2.47,1.0392695789461532e-20
0.6,0.65,71.05,28.64,32.65,2.48,8.64362824458923e-21
0.6,0.7,71.05,28.59,32.59,2.49,7.524740721258075e-21
0.6,0.75,71.05,28.53,32.52,2.49,6.516448642987384e-21
0.6,0.8,70.18,28.49,32.48,2.46,3.606497896746713e-20
0.6,0.85,70.18,28.44,32.42,2.47,3.183565744918638e-20
0.6,0.9,70.18,28.39,32.37,2.47,2.884764188504671e-20
0.6,0.95,70.18,28.36,32.33,2.47,2.6837352183738502e-20
0.65,0.5,71.93,27.85,31.75,2.58,1.967024862518075e-22
0.65,0.55,71.05,27.78,31.67,2.56,1.072030617669037e-21
0.65,0.6,71.05,27.71,31.59,2.56,8.958867467145958e-22
0.65,0.65,71.05,27.62,31.49,2.57,7.202577464216514e-22
0.65,0.7,71.05,27.56,31.41,2.58,6.103982466324791e-22
0.65,0.75,71.05,27.49,31.34,2.58,5.143998776715541e-22
0.65,0.8,70.18,27.44,31.28,2.56,2.9244337357535974e-21
0.65,0.85,70.18,27.38,31.21,2.56,2.5083941806199377e-21
0.65,0.9,70.18,27.33,31.16,2.57,2.2111884682375905e-21
0.65,0.95,70.18,27.29,31.11,2.57,2.0036226365354713e-21
0.7,0.5,71.05,26.84,30.59,2.65,9.816479458371396e-23
0.7,0.55,70.18,26.75,30.5,2.62,5.221670333435297e-22
0.7,0.6,70.18,26.67,30.4,2.63,4.219641971874097e-22
0.7,0.65,70.18,26.57,30.29,2.64,3.2932082962660925e-22
0.7,0.7,70.18,26.49,30.2,2.65,2.6986228080856033e-22
0.7,0.75,70.18,26.42,30.12,2.66,2.215616384260946e-22
0.7,0.8,69.3,26.37,30.06,2.63,1.2487114944674238e-21
0.7,0.85,69.3,26.3,29.98,2.64,1.0441632669517705e-21
0.7,0.9,69.3,26.23,29.91,2.64,8.886581389617015e-22
0.7,0.95,69.3,26.18,29.85,2.65,7.861475452109186e-22
0.75,0.5,70.18,25.75,29.36,2.72,3.859985652338352e-23
0.75,0.55,69.3,25.66,29.25,2.7,2.0253097187032905e-22
0.75,0.6,69.3,25.56,29.14,2.71,1.5485953338231822e-22
0.75,0.65,68.42,25.45,29.02,2.69,7.593247438755869e-22
0.75,0.7,68.42,25.36,28.91,2.7,5.899347293745633e-22
0.75,0.75,68.42,25.28,28.81,2.71,4.790786334450819e-22
0.75,0.8,67.54,25.22,28.75,2.68,2.6173967654382273e-21
0.75,0.85,67.54,25.14,28.66,2.69,2.1371842430635925e-21
0.75,0.9,67.54,25.07,28.58,2.69,1.7904656278977137e-21
0.75,0.95,67.54,25.02,28.52,2.7,1.5435124606075185e-21
0.8,0.5,67.54,24.56,28.0,2.75,4.661501185394144e-22
0.8,0.55,66.67,24.46,27.88,2.73,2.232187494483785e-21
0.8,0.6,66.67,24.34,27.75,2.74,1.6396066855188725e-21
0.8,0.65,65.79,24.22,27.61,2.72,7.402461301577521e-21
0.8,0.7,65.79,24.12,27.49,2.73,5.643981348159258e-21
0.8,0.75,65.79,24.03,27.39,2.74,4.449233306357233e-21
0.8,0.8,64.91,23.96,27.32,2.71,2.2641312336283025e-20
0.8,0.85,64.91,23.87,27.21,2.72,1.7620973271564635e-20
0.8,0.9,64.91,23.79,27.12,2.73,1.448229189454431e-20
0.8,0.95,64.91,23.72,27.04,2.74,1.2117389230832245e-20
0.85,0.5,66.67,23.15,26.39,2.88,6.500593443568273e-23
0.85,0.55,65.79,23.03,26.25,2.86,3.037377617816882e-22
0.85,0.6,64.91,22.9,26.11,2.83,1.347273535197493e-21
0.85,0.65,64.04,22.77,25.96,2.81,5.904726344455524e-21
0.85,0.7,64.04,22.65,25.82,2.83,4.25339816699114e-21
0.85,0.75,64.04,22.53,25.69,2.84,3.091377092590114e-21
0.85,0.8,63.16,22.45,25.59,2.81,1.4871063547547545e-20
0.85,0.85,63.16,22.34,25.47,2.83,1.1206703258562115e-20
0.85,0.9,63.16,22.26,25.37,2.84,8.813199311427415e-21
0.85,0.95,63.16,22.17,25.27,2.85,6.922563964957626e-21
0.9,0.5,63.16,21.44,24.44,2.95,9.028221305659144e-22
0.9,0.55,62.28,21.3,24.28,2.92,3.851229737284193e-21
0.9,0.6,61.4,21.14,24.1,2.9,1.49468520709856e-20
0.9,0.65,60.53,21.0,23.94,2.88,5.919756245707445e-20
0.9,0.7,60.53,20.84,23.76,2.9,3.821702312039844e-20
0.9,0.75,60.53,20.71,23.61,2.92,2.6604447220731335e-20
0.9,0.8,59.65,20.6,23.49,2.89,1.1615653863763182e-19
0.9,0.85,59.65,20.48,23.35,2.91,8.270182311348278e-20
0.9,0.9,58.77,20.38,23.23,2.88,3.5898447504323614e-19
0.9,0.95,58.77,20.27,23.11,2.9,2.68048484372989e-19
0.95,0.5,60.53,19.08,21.76,3.17,2.300790343316924e-22
0.95,0.55,59.65,18.92,21.57,3.15,8.951360282902094e-22
0.95,0.6,58.77,18.73,21.35,3.14,3.1513978037733793e-21
0.95,0.65,57.89,18.56,21.15,3.12,1.1619120708839375e-20
0.95,0.7,57.89,18.37,20.94,3.15,6.626705208038843e-21
0.95,0.75,57.89,18.22,20.77,3.18,4.160117659714161e-21
0.95,0.8,57.02,18.08,20.61,3.15,1.684669163418361e-20
0.95,0.85,57.02,17.92,20.43,3.18,1.0359341689345986e-20
0.95,0.9,55.26,17.79,20.28,3.11,2.4822323386175595e-19
0.95,0.95,55.26,17.66,20.13,3.13,1.6667096693800874e-19
